Famille;Sous famille;Désignation;Fournisseur;Fabricant;Ref fournisseur;tenu en stock;Conditionnement;Multiple cde;Unité Qte; Ancien Prix/U HT ;Prix/U HT;unité / prix;Coeff conversion;date prix
Profil Alu;;LISSE HAUTE / LAME 612;ARCELOR (BERTON SICARD);INSTALLUX;338;Non;6,5;;;;;;;
Profil Alu;;SUPPORT MURAL REMPLISSAG;ARCELOR (BERTON SICARD);INSTALLUX;343;Non;1;;;;;;;
Profil Alu;;BARREAU LOSANGE 1 FIXATI;ARCELOR (BERTON SICARD);INSTALLUX;344;Non;6,5;;;;;;;
Profil Alu;EMBOUT;KIT EMBOUTS MC 375;ARCELOR (BERTON SICARD);INSTALLUX;345;Non;1;;;;;;;
Profil Alu;EMBOUT;KIT EMBOUTS LISSE RECT;ARCELOR (BERTON SICARD);INSTALLUX;346;Non;4;;;;;;;
Profil Alu;;PROFIL CADRE BAS RECT.;ARCELOR (BERTON SICARD);INSTALLUX;347;Non;6,5;;;;;;;
Profil Alu;;LISSE BASSE PERFOREE;ARCELOR (BERTON SICARD);INSTALLUX;349;Non;6,5;;;;;;;
Profil Alu;EMBOUT;EMBOUT MAIN COUR. 25MM;ARCELOR (BERTON SICARD);INSTALLUX;357;Non;1;;;;;;;
Profil Alu;EMBOUT;(*)EMBOUT MAIN COUR. 120;ARCELOR (BERTON SICARD);INSTALLUX;359;Non;2;;;;;;;
Profil Alu;EMBOUT;EMBOUT LISSE BASSE;ARCELOR (BERTON SICARD);INSTALLUX;365;Non;2;;;;;;;
Profil Alu;EMBOUT;EMBOUT MAIN COUR.;ARCELOR (BERTON SICARD);INSTALLUX;368;Non;1;;;;;;;
Profil Alu;;MC PR REMPL SOUS LISSE;ARCELOR (BERTON SICARD);INSTALLUX;375;Non;6,5;;;;;;;
Profil Alu;;PROFIL REMP BAS NEZ DALL;ARCELOR (BERTON SICARD);INSTALLUX;377;Non;6,5;;;;;;;
Profil Alu;;PROFIL U PR B LIBRES 3ML;ARCELOR (BERTON SICARD);INSTALLUX;383;Non;1;;;;;;;
Profil Alu;EMBOUT;EMBOUT MAIN COUR. 63;ARCELOR (BERTON SICARD);INSTALLUX;384;Non;1;;;;;;;
Profil Alu;;FIXATION MUR.MAIN COUR.;ARCELOR (BERTON SICARD);INSTALLUX;385;Non;1;;;;;;;
Profil Alu;;CROSSE DE MAIN COURANTE.;ARCELOR (BERTON SICARD);INSTALLUX;386;Non;1;;;;;;;
Profil Alu;;PINCE DLE MAIN COURANTE;ARCELOR (BERTON SICARD);INSTALLUX;395;Non;1;;;;;;;
Profil Alu;;LISSE BASSE / LAME 612;ARCELOR (BERTON SICARD);INSTALLUX;399;Non;6,5;;;;;;;
Profil Alu;;TRAV.BASSE/AUTOPORTANT;ARCELOR (BERTON SICARD);INSTALLUX;500;Non;6,5;;;;;;;
Profil Alu;;PLATINE CIRCULAIRE;ARCELOR (BERTON SICARD);INSTALLUX;504N;Non;1;;;;;;;
Profil Alu;;POTEAU VARIABLE;ARCELOR (BERTON SICARD);INSTALLUX;505;Non;6,5;;;;;;;
Profil Alu;;LAME 120X20;ARCELOR (BERTON SICARD);INSTALLUX;506;Non;6,5;;;;;;;
Profil Alu;;PLASTRON POTEAU 150X150;ARCELOR (BERTON SICARD);INSTALLUX;508;Non;6;;;;;;;
profil alu;;PLASTRON POTEAU LG 2M;ARCELOR (BERTON SICARD);INSTALLUX;508/2;Non;1995;;;;;;;
Profil Alu;;POTEAU 150X150;ARCELOR (BERTON SICARD);INSTALLUX;509;Non;6;;;;;;;
Profil Alu;;POTEAU 150X150 LG 2M;ARCELOR (BERTON SICARD);INSTALLUX;509/2;Non;1995;;;;;;;
Profil Alu;;CLOSOIR EXTREMITE BOMBE;ARCELOR (BERTON SICARD);INSTALLUX;519;Non;6,5;;;;;;;
profil alu;;MONTANT 3 RAINURES;ARCELOR (BERTON SICARD);INSTALLUX;523;Non;6,5;;;;;;;
profil alu;;MONTANT 3 RAINURES;ARCELOR (BERTON SICARD);INSTALLUX;523/4;Non;4;;;;;;;
Profil Alu;;BARREAU ECONOMIQUE 80X20;ARCELOR (BERTON SICARD);INSTALLUX;526;Non;6,5;;;;;;;
Profil Alu;;PROFIL SUPPORT TOLE;ARCELOR (BERTON SICARD);INSTALLUX;529;Non;6,5;;;;;;;
Profil Alu;;CACHE SECURITE / 509;ARCELOR (BERTON SICARD);INSTALLUX;538;Non;6,5;;;;;;;
Profil Alu;;GUIDE OLIVE CACHE CREMA;ARCELOR (BERTON SICARD);INSTALLUX;541I;Non;6,5;;;;;;;
Profil Alu;;GUIDE OLIVE CACHE CREMA;ARCELOR (BERTON SICARD);INSTALLUX;541I/4;Non;4,5;;;;;;;
